,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
470,graph_470,100,7.853993087224244,1,-2.5441481099925483,0.5204040404040404,3.8501476017100584,0.54,-0.53849593,0.26380608087757773,(0.43198890315401184+0j),(0.24413131254545614+0j),(-0.3770156295481856+0j),1,2,0.6931471805599453,3,4.590486953408442,0.7106828831674827,1.0744240992321323,0.7061335371033423,0.25,0.99,0.99,1.0000000046299014,0.0
471,graph_471,100,7.956476798036782,1,-2.531183897425947,0.5765656565656566,3.9512437185814275,0.47,-0.50915055,0.26024968946382376,(0.4118513935803549+0j),(0.22263173431483027+0j),(-0.36434274134120403+0j),1,2,0.6931471805599453,3,4.589714690055782,0.7428998580222449,1.073036792970895,0.6847407326265882,0.2435,0.99,0.9797,0.9950384798957859,0.05380694660663932
472,graph_472,100,7.823245690685523,1,-2.548070667580495,0.5046464646464647,3.8066624897703196,0.56,-0.57368887,0.32440822326015994,(0.4565712394954485+0j),(0.22653272340683953+0j),(-0.3728489239398296+0j),1,2,0.6931471805599453,3,4.590407516632171,0.6683142940831869,1.071976401179941,0.7273818743557333,0.2528,0.99,0.99,1.0000000428505127,0.0
473,graph_473,100,7.3031700512368,1,-2.616861678500468,0.3,3.5553480614894135,0.66,-0.64100162,0.32983842043861844,(0.5121676369563773+0j),(0.2919726818957568+0j),(-0.5663337244066179+0j),1,2,0.6931471805599453,3,4.5952562585073125,0.5515421601970212,1.0719016083254491,0.7629627613751964,0.2368,0.99,0.9843,0.9996207407275368,0.00961444877454446
474,graph_474,100,7.677400430514807,1,-2.566889181737746,0.43616161616161614,3.784189633918261,0.56,-0.58497373,0.30674778026341865,(0.4644007995383616+0j),(0.2502237571712605+0j),(-0.44852131305226783+0j),1,2,0.6931471805599453,3,4.592019838544887,0.6538034805076374,1.0718728403593645,0.7202407909710468,0.2411,0.9846,0.9755,0.9788753244365611,0.08526926993389956
475,graph_475,100,7.806289289267033,1,-2.550240458056384,0.49616161616161614,3.8918202981106265,0.52,-0.54686062,0.2688747968785865,(0.437268325394755+0j),(0.24654496474919763+0j),(-0.4156914952985056+0j),1,2,0.6931471805599453,3,4.591078171118188,0.705105716818499,1.0707635009310987,0.7023616625985545,0.2449,0.9899,0.9866,0.9983894243767368,0.025593636089898147
476,graph_476,100,7.656810091480378,1,-2.569574726113173,0.42727272727272725,3.7612001156935624,0.58,-0.57782395,0.2689423934258244,(0.45928791337400343+0j),(0.2730789605373638+0j),(-0.4605504696075994+0j),1,2,0.6931471805599453,3,4.592311199666965,0.6623055357044693,1.0707282913165266,0.722931324868703,0.2516,0.99,0.9881,0.9996921176104435,0.007858376032741796
477,graph_477,100,7.761744984658913,1,-2.555963007915167,0.47454545454545455,3.784189633918261,0.57,-0.57717803,0.2985104087452184,(0.4589767988403995+0j),(0.24993626259192464+0j),(-0.37034611137681894+0j),1,2,0.6931471805599453,3,4.590987884400556,0.6675516618738715,1.070500927643785,0.7369093231186874,0.2537,0.99,0.99,0.9999999999966512,0.0
478,graph_478,100,8.027802848370312,1,-2.522259313356261,0.6191919191919192,4.04305126783455,0.44,-0.47100716,0.2616862439251435,(0.38678979684879344+0j),(0.19108367694129055+0j),(-0.3186825904474385+0j),1,2,0.6931471805599453,3,4.589173561810548,0.7750043920699488,1.0701476793248943,0.6620750775905339,0.2454,0.9898,0.9896,0.9996466136546726,0.0020772243227665296
479,graph_479,100,7.98139158158007,1,-2.528057406072786,0.5911111111111111,3.9512437185814275,0.49,-0.51289935,0.298590536651125,(0.41490984990432905+0j),(0.1952737221247999+0j),(-0.32434648657923715+0j),1,2,0.6931471805599453,3,4.589344720574156,0.7368682892429855,1.0693121693121692,0.6907040560138076,0.248,0.99,0.9886,0.9997322771508047,0.004429380069536519
480,graph_480,100,8.108021221376747,1,-2.512316340063733,0.6709090909090909,4.07753744390572,0.42,-0.45154237,0.27056761900584503,(0.37360338632216+0j),(0.16754048046704276+0j),(-0.3187555115503313+0j),1,2,0.6931471805599453,3,4.588483213267498,0.7965928273401918,1.0674268715914723,0.6482985290099403,0.2372,0.9898,0.9839,0.9991646932973534,0.015966152033432542
481,graph_481,100,7.87359778968554,1,-2.5416550755833125,0.5307070707070707,3.912023005428146,0.5,-0.53454744,0.28967450286067353,(0.42889591471516647+0j),(0.21984748035065121+0j),(-0.39171502487001647+0j),1,2,0.6931471805599453,3,4.590434847476784,0.7163237108595407,1.0673302107728335,0.6940425741422249,0.2625,0.99,0.9799,0.9924602531408985,0.06447302446802654
482,graph_482,100,8.133000218583613,1,-2.509240299927318,0.6878787878787879,3.970291913552122,0.48,-0.4817378,0.3053427966793305,(0.39619566479710105+0j),(0.1662068102883851+0j),(-0.21235899420039536+0j),1,2,0.6931471805599453,3,4.587835090485774,0.7770919355393178,1.067321178120617,0.6705577637511038,0.2487,0.99,0.9801,0.9933545643338514,0.06872398811486151
483,graph_483,100,7.902487437162855,1,-2.53799261061119,0.5462626262626262,3.912023005428146,0.51,-0.52810489,0.2964394505449235,(0.42490790959331526+0j),(0.20945842771741732+0j),(-0.3568775679120389+0j),1,2,0.6931471805599453,3,4.590098841293829,0.7211417560704779,1.0656851642129106,0.6960060057589268,0.2574,0.99,0.9886,0.9998516261760936,0.004685622246861426
484,graph_484,100,7.782807262839695,1,-2.5532530821823425,0.48464646464646466,3.871201010907891,0.53,-0.55474411,0.24160827720959333,(0.4429882443256308+0j),(0.274403614600713+0j),(-0.4163282460967995+0j),1,2,0.6931471805599453,3,4.591194750433835,0.7008207898803881,1.0649350649350648,0.7177989875501871,0.2639,0.99,0.9879,0.9996958355386109,0.006960396356432139
485,graph_485,100,7.85748078694253,1,-2.5437041414885737,0.5222222222222223,3.871201010907891,0.53,-0.53619993,0.27156968552715033,(0.4316229373990284+0j),(0.23758653653467768+0j),(-0.33163471247092885+0j),1,2,0.6931471805599453,3,4.590364655022975,0.7157005686801856,1.064702484113229,0.7129593274137005,0.2533,0.99,0.9883,0.999678317195327,0.009350847737665684
486,graph_486,100,8.075271546297458,1,-2.5163636894203276,0.6492929292929293,4.060443010546419,0.42,-0.46466245,0.27427794313620657,(0.38229955468191323+0j),(0.17510652332769253+0j),(-0.31244449580412936+0j),1,2,0.6931471805599453,3,4.588726563632946,0.7824808344853588,1.0633802816901408,0.6578314802967894,0.255,0.9896,0.9801,0.9897731255651087,0.07042303238034092
