,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
1023,graph_1023,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9564575252135146,0.13100191397742014
1024,graph_1024,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9619638837154143,0.12382033060018932
1025,graph_1025,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9564269908780142,0.13387140104504514
1026,graph_1026,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9527628706179702,0.13827934902871267
1027,graph_1027,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9584320789092051,0.13063892767240962
1028,graph_1028,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.955144548786999,0.13651058398147728
1029,graph_1029,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9522743212499644,0.13736389647601738
1030,graph_1030,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9544422590704904,0.13566584060111042
1031,graph_1031,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9585338600275397,0.12777849195309277
1032,graph_1032,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9597959458948881,0.12739727544436483
