Unnamed: 0,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
730,graph_730,100,8.100161446936607,1,-2.5132861927877634,0.6656565656565656,4.127134385045092,0.39,-0.49374338,0.3610393012410611,(0.4016404764953579+0j),(0.12507611701014892+0j),(-0.3217926774050072+0j),1,2,0.6931471805599453,3,0.7696525773278766,1.1197394789579158,0.6783004053183205,0.24,0.9898,0.9893,0.9999593577044518,0.0001286841748975
731,graph_731,100,7.587817219993427,1,-2.5786262222400484,0.3987878787878788,3.58351893845611,0.65,-0.63870925,0.3615755444658459,(0.5031808164826027+0j),(0.25649968246927723+0j),(-0.4147090363593161+0j),1,2,0.6931471805599453,3,0.5767151944669769,1.117732558139535,0.7791286801807311,0.2445,0.99,0.99,0.9996625392250909,0.009423828463875
732,graph_732,100,7.929126487306799,1,-2.534627309333356,0.561010101010101,3.912023005428146,0.51,-0.54022949,0.3158028431586424,(0.43356253038480774+0j),(0.20452405843266994+0j),(-0.3355148443237116+0j),1,2,0.6931471805599453,3,0.7079270965990939,1.1175799086757991,0.7051677730031773,0.2291,0.99,0.9759,0.9934590069163256,0.0598637102738402
733,graph_733,100,7.776954403322442,1,-2.554005389308746,0.4818181818181818,3.688879454113936,0.61,-0.58230566,0.2878474558987389,(0.46260566933958036+0j),(0.26264075264806547+0j),(-0.36433739156806993+0j),1,2,0.6931471805599453,3,0.6743954174893941,1.1146817895400123,0.7417190622720862,0.2475,0.99,0.99,1.000000020622428,0.0
734,graph_734,100,7.630946580890459,1,-2.5729582879815407,0.4163636363636364,3.6375861597263857,0.63,-0.6217253,0.3357185322408589,(0.4898241786139623+0j),(0.25952231984481516+0j),(-0.39030611509846463+0j),1,2,0.6931471805599453,3,0.6091573142414861,1.1129032258064515,0.7700145726932485,0.2535,0.99,0.99,0.999999978373797,0.0
735,graph_735,100,8.029758520440822,1,-2.5220157306558417,0.6204040404040404,3.912023005428146,0.51,-0.54100202,0.3707239743575969,(0.43483472489688935+0j),(0.16040288976400077+0j),(-0.24613570110412974+0j),1,2,0.6931471805599453,3,0.7188003265510058,1.1090909090909091,0.71515787122571,0.255,0.9896,0.9799,0.9915065115349077,0.0680119035154628
736,graph_736,100,7.92443418488756,1,-2.535219265002278,0.5583838383838384,3.784189633918261,0.57,-0.59543284,0.4234903495595652,(0.4713022365999326+0j),(0.1643177667312724+0j),(-0.24993103338695816+0j),1,2,0.6931471805599453,3,0.6623734334799568,1.1088688263409452,0.7554265559329062,0.2191,0.99,0.9836,0.9999008617348508,0.0025399746486961
737,graph_737,100,8.106212902619962,1,-2.5125393933082405,0.6696969696969697,4.060443010546419,0.41,-0.4956217,0.3602471683610062,(0.4031250305718713+0j),(0.12773056703812136+0j),(-0.28558754699223915+0j),1,2,0.6931471805599453,3,0.7642527394177417,1.108345534407028,0.6853696388865599,0.244,0.9898,0.979,0.9898752863838716,0.0725416242105355
738,graph_738,100,8.117312461601975,1,-2.511171064234916,0.6771717171717172,4.02535169073515,0.43,-0.48638216,0.3299113055172746,(0.396916439928419+0j),(0.14610728642977103+0j),(-0.26887144268520163+0j),1,2,0.6931471805599453,3,0.7705250783699059,1.107647345348271,0.6784740395335015,0.2641,0.99,0.9665,0.992842028604763,0.0602795203635741
739,graph_739,100,7.327780538421631,1,-2.613497507424217,0.3074747474747474,3.555348061489413,0.66,-0.62486529,0.2950037794765308,(0.4991614210788773+0j),(0.3018330887466595+0j),(-0.5745078848808209+0j),1,2,0.6931471805599453,3,0.5822360910267144,1.1067961165048543,0.7490148256586417,0.2347,0.99,0.9884,0.999938978405266,0.0013088227245
740,graph_740,100,7.988203597022576,1,-2.527204282899721,0.5951515151515151,3.871201010907891,0.53,-0.5659262,0.4245531887620359,(0.451746851863219+0j),(0.13671469556226948+0j),(-0.23808334430720302+0j),1,2,0.6931471805599453,3,0.6966073059576824,1.1041137633316405,0.7379497747709958,0.2621,0.99,0.9899,0.9999751442159855,0.0007850855010698
741,graph_741,100,8.06117135969092,1,-2.5181113100424675,0.6402020202020202,4.04305126783455,0.44,-0.50612691,0.3471059006985013,(0.4100300819294667+0j),(0.14821068414532787+0j),(-0.32633581580541526+0j),1,2,0.6931471805599453,3,0.7527733891284855,1.1023421588594704,0.683497248028633,0.2412,0.9897,0.9676,0.9898274465682436,0.0654406727563413
742,graph_742,100,7.717351272185329,1,-2.5616989802813506,0.4539393939393939,3.610917912644224,0.64,-0.61344115,0.3416222136402631,(0.48418710378036517+0j),(0.24782293139674766+0j),(-0.36052265923529764+0j),1,2,0.6931471805599453,3,0.6238040864958404,1.1018041237113405,0.7610146234965586,0.2646,0.99,0.9857,0.999105930337524,0.0157469785372326
743,graph_743,100,7.853216388156072,1,-2.544247007135293,0.52,3.828641396489095,0.53,-0.57694681,0.3443153777755359,(0.45905586973866447+0j),(0.21371018939121467+0j),(-0.32847248321082606+0j),1,2,0.6931471805599453,3,0.6680582727780883,1.099767981438515,0.7366923342461209,0.2644,0.99,0.9735,0.995944583101386,0.0440434153069029
744,graph_744,100,7.788626065625031,1,-2.5525057132107856,0.4874747474747474,3.713572066704308,0.6,-0.58439974,0.3089545988839259,(0.4639273719392563+0j),(0.24791644666389553+0j),(-0.36914331355445423+0j),1,2,0.6931471805599453,3,0.6596316562638321,1.0996904024767802,0.736012703047657,0.2427,0.9898,0.9808,0.9998977181352332,0.0019972101701937
745,graph_745,100,8.07558263667172,1,-2.5163251663340835,0.6494949494949495,4.060443010546419,0.43,-0.49185585,0.3239378413989291,(0.4002853581209178+0j),(0.15556050379796402+0j),(-0.31771291880216557+0j),1,2,0.6931471805599453,3,0.7637620433560819,1.099290780141844,0.6750394119279566,0.2513,0.9897,0.9693,0.989794866073378,0.0674148788630283
746,graph_746,100,8.119100837637486,1,-2.510950772227096,0.6783838383838384,4.04305126783455,0.44,-0.49397266,0.3478687347814839,(0.40207000254086156+0j),(0.1371910248741087+0j),(-0.27159759407823497+0j),1,2,0.6931471805599453,3,0.7670070018499872,1.0942857142857143,0.6844102597821522,0.251,0.99,0.98,0.9930727054251056,0.0636215637422384
747,graph_747,100,7.971085753505607,1,-2.529349472413547,0.585050505050505,3.9318256327243257,0.5,-0.53026758,0.3465772623840042,(0.4272925528808196+0j),(0.1710278952046545+0j),(-0.3049240140686506+0j),1,2,0.6931471805599453,3,0.721080408898637,1.0942688805570433,0.7054558270206405,0.2426,0.99,0.99,0.9997126407096388,0.009081392842486
748,graph_748,100,8.006700845440367,1,-2.5248913892240865,0.6062626262626263,3.9318256327243257,0.47,-0.53189048,0.3605331301571337,(0.427956878568307+0j),(0.16006469687716357+0j),(-0.32261102879843473+0j),1,2,0.6931471805599453,3,0.7230982378262663,1.0937823834196891,0.7035151659839637,0.2415,0.99,0.9772,0.9938960240891512,0.0568125704363138
749,graph_749,100,7.585788821732034,1,-2.5788935810034035,0.397979797979798,3.6635616461296463,0.62,-0.57314341,0.1937570574495684,(0.45617111679130734+0j),(0.32516807753721527+0j),(-0.5270992434509223+0j),1,2,0.6931471805599453,3,0.679870146870173,1.093558282208589,0.723861264689502,0.2455,0.9899,0.9669,0.9979876031048462,0.0240184449545595
750,graph_750,100,8.092239406724211,1,-2.514264681514181,0.6604040404040404,4.007333185232471,0.44,-0.51357747,0.3730645371935353,(0.4156309947081295+0j),(0.1330105638585877+0j),(-0.2812421629822903+0j),1,2,0.6931471805599453,3,0.7504293631620618,1.573103448275862,0.6977668951271209,0.2419,0.99,0.9898,0.9999912406090612,0.0002109813155652
751,graph_751,100,8.09437844497296,1,-2.5140003843916072,0.6618181818181819,3.9889840465642745,0.47,-0.51314076,0.3710219522744689,(0.4154823511605038+0j),(0.13460031633346675+0j),(-0.2585085271735891+0j),1,2,0.6931471805599453,3,0.7496569561996819,1.529058116232465,0.6987945270692858,0.2493,0.99,0.9795,0.9958554692277276,0.047233759777418
752,graph_752,100,8.047189562170502,1,-2.51984727822688,0.6313131313131313,3.951243718581428,0.49,-0.54107828,0.4093155488332769,(0.434620666061723+0j),(0.12668689116982967+0j),(-0.26816010972530696+0j),1,2,0.6931471805599453,3,0.7234181004190635,1.521680216802168,0.7187199398972198,0.2539,0.99,0.989,1.000000083624757,0.0
753,graph_753,100,8.098946748943339,1,-2.5134361637591103,0.6648484848484848,4.007333185232471,0.42,-0.51314415,0.3709343129840281,(0.41552244786856785+0j),(0.1347300114056425+0j),(-0.2538651767591127+0j),1,2,0.6931471805599453,3,0.7506027097831852,1.3391608391608392,0.6985791285135347,0.2696,0.9897,0.9781,0.9933702681999536,0.058407389628037
754,graph_754,100,7.886457270977689,1,-2.5400231670529783,0.5375757575757576,3.688879454113936,0.61,-0.61512035,0.4154814011763241,(0.4839742960461911+0j),(0.18816158642524805+0j),(-0.2453742409863634+0j),1,2,0.6931471805599453,3,0.6443883915869646,1.2971428571428572,0.7677564917153892,0.2457,0.99,0.99,0.9999999880300292,0.0
755,graph_755,100,8.09437844497296,1,-2.5140003843916072,0.6618181818181819,4.02535169073515,0.44,-0.50634936,0.3542963597724498,(0.41046794930928143+0j),(0.14256384354380452+0j),(-0.2966044612237898+0j),1,2,0.6931471805599453,3,0.7563017039515796,1.2687991021324354,0.6901706551159247,0.2667,0.9899,0.98,0.9982392446687158,0.0313462006985813
